Gene	AML_blast	CMP	GMP	HSC	LPC	LSC	MEP	MPP	RApos
LTBP1	518.147328282857	2111.906117875	314.7397355375	83.4622573814286	192.444414069125	110.611662447875	962.22059805	321.633082946875	30.03714841
MS4A3	515.283329985714	1245.004928575	1065.670231	30.0551938608571	441.711333223375	415.488556236875	319.993387575	40.750118325875	20.32881113
ANP32C	9.65621905071429	251.357085305	63.01807117	7.38980274371429	11.623205173125	9.862081663875	66.8021497955	6.9093881565	5.54443970675
CTAG1A	57.1124526574286	281.16898185	100.5861135175	6.80608368928571	23.0991925455	26.3162436515	126.82401857	3.964575469625	26.35199258225
CTAG1B	57.1124526574286	281.16898185	100.5861135175	6.80608368928571	23.0991925455	26.3162436515	126.82401857	3.964575469625	26.35199258225
C4orf7	37.4107311117143	215.376493315	42.8565621225	10.8510162801429	10.83434755375	12.8057652205	32.4631239755	15.122834899125	11.778395197
LCN2	94.7838457528571	619.8718701	127.475851035	39.6559900625714	32.89509777125	29.516744519875	303.82399801	45.094941053875	24.81144256025
HCRTR1	11.85185158	178.00645037	169.11434279	18.0121228085714	6.07208490375	6.432871634375	50.2028041275	4.432893719	4.88411304525
RGR	131.076802490143	557.797440775	398.46295035	33.8548883514286	20.50972592325	32.90579540825	129.6535091125	21.695457680375	31.32775347725
IPMK	43.822213548	272.162234275	181.3663974575	18.9521083668571	14.330746090875	15.001856118	34.92820535175	18.2682761005	24.79782618175
GJB6	8.90569757971429	147.211995325	113.525602095	11.618497641	10.453855133375	4.381142971375	125.225412609	5.710618591	3.753962247
MBL2	11.6462546734286	101.8173485025	31.8008299425	3.40372565471429	5.602219578625	2.3874213145	17.9377626895	3.286415938625	8.7826926665
RNASE2	651.223102584286	3422.3550796375	3564.016067125	70.2526510407143	1142.71300338125	449.514983908125	422.17837797375	72.618286490875	69.27449181875
INSRR	31.0978507312857	323.6126186	372.2328638825	15.2898637658571	21.514091144375	12.342743237	148.77222638	21.950325545375	12.59045339725
TTC23L	48.6403669581429	213.957092875	220.1446476025	10.8356969521429	7.709816483875	14.62171814825	83.37578650975	30.272905293125	5.06339990375
CPB1	82.4023612005714	403.88982775	103.4172072525	32.8778175901429	21.560027597	9.626358509875	93.86370076	74.11737307	18.03949265625
RAI2	21.3811213938571	251.789552475	362.3844749025	14.4963556987143	9.886313731	18.169161722125	196.84849397975	19.7766479525	5.15950772
FAM47A	8.931699397	169.401775435	31.9102596	4.91883922914286	3.125697486875	4.89158934025	123.14883386975	12.56570838725	17.11816378825
POU3F2	35.0299530604286	285.13460845	126.1308110875	21.0017190951429	12.89548218375	11.684514157625	30.361034205	15.771791823	5.7258746205
DRD1	16.610345526	170.8643622975	159.08961315	7.37623332942857	5.989482275	6.78093825625	52.62533354	8.402119603125	3.77537734725
C6orf201	30.2323685771429	227.443137875	44.3130899825	11.919619941	17.810598217125	21.956362445875	30.69011341875	17.39515363675	20.31660539
HDC	6900.02783110143	1765.9070635	212.9441064125	31.6711282228571	2608.5734338125	2113.54597034625	391.4423357	151.1096861625	14.3022678175
ZNF695	14.4794424997143	175.78875129	54.1992628675	16.2315700208571	14.52729674875	5.160806679	31.4500464265	7.723906425625	11.952031757
CNGA3	13.988636095	111.554859105	19.658875065	5.209643215	2.763185937875	7.7020873055	95.46036607225	4.06674485375	3.7879613285
GRPR	78.8961963757143	639.1253677	519.3438332	40.8964122868571	34.694282471875	50.8897878275	273.77398272	40.34831899825	24.34056081075
OSR1	12.9597949537143	132.9564185675	67.4988277175	10.5850272558571	6.014777731625	5.458256737125	27.97198665175	12.461746261875	9.17948202825
FGF16	61.9713078314286	411.549797925	196.6413908175	29.2101055594286	50.9770575975	28.443151739125	68.94479515	28.195190634	38.38834564475
FLJ36070	96.0873111785714	458.1517013875	325.7519327775	38.8463946062857	41.718926075875	17.402123040375	207.54928490825	21.139621333125	7.72758006475
FAM13C	17.6197616405714	133.42027005	53.52555498	17.5684844687143	6.04938629825	12.798794362125	24.675621608	10.3328630605	17.88802946875
FOXA2	9.68581554842857	140.63813356	67.2950542975	5.63020333842857	7.529550845	17.173647472	24.00498823575	5.983414696625	6.83276155725
ELA2	950.387825362857	3171.61669395	5982.9192225	20.7130454038571	652.768013763875	196.72965539775	1002.3918586925	51.632852231625	5.19715912025
PRTN3	274.437102780714	403.453447415	1519.61277175	19.440830436	79.7236590445	18.55104747475	218.83199435375	38.955467687625	2.81738958675
MPO	3177.08065344286	8912.96188875	31596.06858	240.28060604	11336.12043845	10169.8155059787	2632.641263675	486.907294635	399.643941465
DNTT	201.452343827857	580.7420929375	7758.212869125	247.887528759286	380.21359475	623.368780791875	1488.785781585	1034.57385293438	9410.964538955
CSTA	2030.07370422714	905.989306975	6972.31962275	61.3544505411429	2624.7812846375	969.8451424125	518.270939775	57.771383453625	46.9651526975
KRT19	17.7276222272857	62.566292499	241.720828565	3.23076325014286	2.27072148925	1.87152906275	5.79593157	3.567577756625	4.9116858755
ZIM3	25.1383730781429	27.9752278525	281.1565199	12.3082860401429	12.8001952865	8.886273438375	50.14543142325	15.074993462875	11.35598110775
OR8B2	33.3717134635714	15.82931829	306.704684495	5.88056662271429	14.436480971875	28.07685116925	48.6836542205	22.246346773	6.26591748175
MMP20	8.35052437471429	150.5385325575	308.516706625	7.08779763528571	5.548153825375	3.435118920625	74.62177618	11.682586590375	1.95602133275
BLNK	1183.62646128429	231.9541533175	1854.079118	22.5869849362857	258.175386455	390.2538098595	272.094740531	40.742254013125	494.847539855
MAGEA12	50.1031254585714	1076.365537345	1353.27049635	25.7001477752857	111.65410709975	105.44982553425	54.80777468	57.131689862	51.9018630245
ELTD1	20.3793125004286	53.8030236125	285.639327	6.29548277971429	14.7472473155	14.604318289375	67.47280116375	19.61509487325	6.44201793575
MYF5	53.4327834128571	200.26254004	425.964140425	14.2264488588571	16.724302704	13.472361593625	69.1469151215	16.210192461	19.063545086
KLHL32	12.7688667015714	124.3829191875	260.13791755	15.2729816518571	5.959765665625	11.048767680625	126.40669128275	14.8014887565	20.51426679025
SLC5A4	21.0531485742857	41.8875103925	383.335113825	15.3207564125714	11.95910390775	15.647578839375	54.522128079	8.059194330375	8.6652387545
C5orf20	209.220880067429	282.1431866075	413.497747675	6.65152434071429	19.22575748575	76.9958323385	102.9156238075	7.155974496375	18.16397989275
RBP1	26.6393248441429	21.3094591225	249.06409555	13.4679171402857	9.401186811875	12.77214618175	156.496479772	13.926595611875	20.08365104275
LOC389328	3.47036738642857	36.635982912	248.0619952875	3.76552598957143	5.970307278125	2.4245509955	17.21435627925	5.239377225	2.033956746
LYZ	371.251339255714	724.47515405	5246.9359455	280.184847228571	396.02101216125	247.23974037375	315.715559675	211.5890869625	117.4698353375
MAB21L1	42.9055635737143	101.56201717	402.48698625	19.0316522521429	15.836525103125	19.62268084725	88.0338355775	7.702679977875	30.28452023
LOC727933	17.4398158887143	231.564633045	326.661405475	7.20854606357143	11.821229877625	9.966504387875	222.332442175	18.9061886725	13.1461282535
BEST2	56.1039443134286	195.026858425	402.284485925	11.400596674	14.179928594	10.7987469025	95.6222722025	15.193245803125	12.26808962725
TCF21	20.9878587925	56.1669912075	250.52212910125	8.96877225035714	5.4641616820625	12.208550338875	78.581629947375	9.29873854375	7.33371324325
